Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
BaseNet6 s112_occ_noV1stride_2--100000,0.32364000000000004,,0.651108617,0.571612554,,,0.16502298234450272,,,,,,0.0,0.34693603833612563,6.0,,,
BaseNet6 s112_occ_noV1stride_4--100000,0.35891999999999996,,0.644017487,0.57030111,,,0.17255420868775959,,,,,,0.0,0.34671820142193993,6.0,,,
BaseNet6 s112_gray_noV1stride_2--60000,0.2161,,0.6429180489999999,0.557779231,,,0.1854454627895511,,,,,,0.0,0.3465356856973878,6.0,,,
BaseNet6 50_1_fullV1--60000,0.26268,,0.6485254220000001,0.5677127439999999,,,0.16874776920574985,,,,,,0.0,0.3462464838014375,6.0,,,
BaseNet6 s112_occ_noV1stride_1--80000,0.27592,,0.63958131,0.550136238,,,0.1932793723580982,,,,,,0.0,0.3457492300895245,6.0,,,
BaseNet6 75_5--20000,0.1808,,0.644954667,0.54340836,,,0.19140362118380144,,,,,,0.0,0.3449416620459504,6.0,,,
BaseNet6 s112_0_noV1stride--80000,0.32130000000000003,,0.596542997,0.544336999,,,0.237184426706374,,,,,,0.0,0.3445161056765935,6.0,,,
MobileNet v1_0.25_160,0.455,0.5918,0.6050937330697697,0.5439472240485099,0.5262714178843032,0.6344159174965118,0.227679587,0.37845845716388327,0.5531594764359123,0.2575512896010824,0.4527339889001255,0.3401131498641504,0.0,0.34418013602956987,41.0,256.0,256.0,https://arxiv.org/abs/1704.04861
BaseNet6 s112_occ_noV1stride_2--80000,0.26028,,0.647214059,0.5638801410000001,,,0.16550466245587947,,,,,,0.0,0.3441497156139699,6.0,,,
BaseNet6 s112_occ_noV1stride_6--100000,0.35084000000000004,,0.644504619,0.558897445,,,0.17203254376014987,,,,,,0.0,0.3438586519400375,6.0,,,
BaseNet6 s112_2_noV1stride--80000,0.30032,,0.646921195,0.563102953,,,0.16307286924605263,,,,,,0.0,0.34327425431151315,6.0,,,
BaseNet6 100_0--40006,0.25268,,0.639988057,0.564426776,,,0.1680753883507074,,,,,,0.0,0.3431225553376768,6.0,,,
BaseNet6 s112_occ_noV1stride_4--80000,0.28972,,0.632883162,0.563284164,,,0.17198606467034538,,,,,,0.0,0.34203834766758634,6.0,,,
BaseNet6 s56_1_noV1stride--100000,0.34434,,0.591996282,0.527623347,,,0.24833335565166514,,,,,,0.0,0.3419882461629163,6.0,,,
BaseNet6 s112_2_noV1stride--60000,0.25904,,0.638256324,0.5575691629999999,,,0.17206473652790288,,,,,,0.0,0.3419725558819757,6.0,,,
BaseNet6 s112_0_noV1stride--100000,0.38828,,0.581148621,0.551840708,,,0.23458833943091628,,,,,,0.0,0.34189441710772905,6.0,,,
BaseNet6 s112_gray_noV1stride_2--40000,0.16978,,0.641299443,0.542965726,,,0.18192197961262563,,,,,,0.0,0.34154678715315645,6.0,,,
BaseNet6 s112_occ_noV1stride_5--60000,0.2439,,0.644156397,0.542564061,,,0.17945344717476966,,,,,,0.0,0.3415434762936924,6.0,,,
MobileNet v1_0.25_128,0.415,0.5811,0.6190881571361035,0.5265838683809955,0.5047496276602862,0.6411354745638123,0.220368134,0.3671665011485085,0.5619998990913748,0.2556539609879219,0.4442718266695973,0.3302000807133519,0.0,0.34151003987927475,41.0,256.0,256.0,https://arxiv.org/abs/1704.04861
BaseNet6 s112_1_noV1stride--40000,0.23988000000000004,,0.645655017,0.5501808000000001,,,0.16961518560080585,,,,,,0.0,0.34136275065020155,6.0,,,
SqueezeNet v1.0,0.575,,0.6405218586813295,0.5423569145838535,0.517621295004546,0.5828438283732249,0.17975704074986987,0.4379150509357338,0.5615388668807932,0.2742956556952186,0.4154178831591288,0.3404042731672858,0.0,0.34065895350376324,,43264.0,43264.0,https://arxiv.org/abs/1602.07360
BaseNet6 s112_occ_noV1stride_1--60000,0.23206,,0.631793575,0.549215586,,,0.18136771071764754,,,,,,0.0,0.34059421792941186,6.0,,,
BaseNet6 s112_occ_noV1stride_6--80000,0.29131999999999997,,0.636628497,0.552100241,,,0.17221226172123263,,,,,,0.0,0.3402352499303082,6.0,,,
BaseNet6 s112_occ_noV1stride_4--40000,0.19124000000000002,,0.629385242,0.5333888489999999,,,0.19553395540195972,,,,,,0.0,0.3395770116004899,6.0,,,
BaseNet6 50_1_fullV1--40000,0.22465999999999997,,0.6386741220000001,0.5525657860000001,,,0.1639367481174847,,,,,,0.0,0.3387941640293712,6.0,,,
